Periodo;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;PESCA Y SERVICIOS CONEXOS;EXPLOTACION  DE  MINAS  Y  CANTERAS;INDUSTRIA MANUFACTURERA;ELECTRICIDAD, GAS Y AGUA;CONSTRUCCION;COMERCIO AL POR MAYOR Y AL POR MENOR;HOTELERIA Y RESTAURANTES ;SERVICIOS DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES;INTERMEDIACION FINANCIERA Y OTROS SERVICIOS FINANCIEROS ;SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER;ENSEÑANZA;SERVICIOS SOCIALES Y DE SALUD;SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES N.C.P.;;Suma de remuneraciones mensuales por grupo de actividad. Nominales. En pesos
ene-00;15.432;#¡VALOR!;56.894;32.250;#¡VALOR!;19.468;22.803;18.359;34.934;52.150;19.248;18.978;25.839;24.067;;
feb-00;15.446;#¡VALOR!;55.449;30.542;#¡VALOR!;19.510;22.118;18.387;34.453;51.668;18.675;18.730;24.785;23.486;;
mar-00;15.570;#¡VALOR!;59.872;32.518;#¡VALOR!;20.021;22.008;18.278;35.009;52.462;18.829;18.603;24.417;23.540;;
abr-00;15.143;#¡VALOR!;56.253;30.641;#¡VALOR!;19.320;22.055;18.118;33.463;49.678;18.722;18.728;24.214;23.271;;
may-00;15.481;#¡VALOR!;52.906;30.899;#¡VALOR!;19.678;21.935;18.388;33.393;49.116;18.714;18.751;24.418;23.564;;
jun-00;21.860;#¡VALOR!;78.950;45.279;#¡VALOR!;26.543;32.635;26.231;48.822;72.355;26.550;26.276;36.113;34.733;;
jul-00;15.197;#¡VALOR!;54.524;30.554;#¡VALOR!;18.560;21.725;18.177;33.450;48.115;18.632;18.803;24.926;23.450;;
ago-00;15.307;#¡VALOR!;52.301;30.718;#¡VALOR!;18.731;21.849;18.515;33.229;49.972;18.543;18.641;24.421;23.370;;
sept-00;15.136;#¡VALOR!;52.812;30.343;#¡VALOR!;18.197;21.933;18.089;33.932;50.521;18.579;18.698;24.378;23.724;;
oct-00;15.364;#¡VALOR!;53.695;30.891;#¡VALOR!;18.731;21.606;18.074;33.050;49.465;18.596;18.654;24.295;23.386;;
nov-00;15.141;#¡VALOR!;52.624;30.387;#¡VALOR!;18.484;21.567;17.986;33.054;50.237;18.594;18.823;24.291;23.287;;
dic-00;21.726;#¡VALOR!;83.655;47.481;#¡VALOR!;26.632;32.327;26.023;49.132;74.917;26.158;27.161;36.270;34.638;;
ene-01;15.681;#¡VALOR!;58.034;32.164;#¡VALOR!;18.822;22.726;18.286;34.587;53.249;18.975;19.383;26.773;24.285;;
feb-01;15.700;#¡VALOR!;56.485;30.562;#¡VALOR!;18.383;22.388;18.339;34.326;55.150;18.426;19.301;25.407;23.910;;
mar-01;15.585;#¡VALOR!;55.369;32.439;#¡VALOR!;19.292;22.035;18.197;34.303;55.508;18.508;18.982;24.637;23.499;;
abr-01;15.579;#¡VALOR!;52.406;30.337;#¡VALOR!;18.987;21.933;18.180;33.117;49.259;18.458;18.958;24.416;23.207;;
may-01;15.353;#¡VALOR!;60.594;30.668;#¡VALOR!;19.725;21.630;18.158;32.701;48.292;18.471;19.019;24.390;23.142;;
jun-01;22.001;#¡VALOR!;79.183;44.550;#¡VALOR!;26.370;31.964;25.885;47.164;73.470;25.976;26.475;36.107;34.193;;
jul-01;15.624;#¡VALOR!;53.664;30.601;#¡VALOR!;19.037;21.634;18.164;33.285;49.030;18.493;18.888;24.638;23.314;;
ago-01;15.642;#¡VALOR!;54.255;30.652;#¡VALOR!;19.490;21.806;18.514;32.382;51.811;18.546;18.766;25.009;23.222;;
sept-01;15.449;#¡VALOR!;52.900;30.200;#¡VALOR!;19.019;21.731;17.967;33.431;50.000;18.402;18.851;24.546;23.643;;
oct-01;15.643;#¡VALOR!;56.009;31.379;#¡VALOR!;20.497;21.785;18.147;33.014;51.710;17.412;18.967;24.725;23.296;;
nov-01;15.556;#¡VALOR!;54.622;31.032;#¡VALOR!;20.648;21.722;18.264;33.093;51.936;18.805;19.000;24.684;23.299;;
dic-01;22.172;#¡VALOR!;78.855;47.395;#¡VALOR!;29.280;32.507;26.186;47.734;79.409;26.491;26.945;36.385;34.576;;
ene-02;15.811;#¡VALOR!;#¡VALOR!;31.673;#¡VALOR!;21.186;22.137;18.341;33.951;54.556;19.067;19.256;25.482;23.856;;
feb-02;15.411;#¡VALOR!;#¡VALOR!;29.640;#¡VALOR!;20.549;21.012;17.731;33.039;56.393;18.036;18.561;23.836;22.814;;
mar-02;14.628;#¡VALOR!;#¡VALOR!;27.965;#¡VALOR!;20.007;20.126;16.836;30.752;47.892;17.599;17.374;22.561;21.834;;
abr-02;13.202;#¡VALOR!;#¡VALOR!;27.098;#¡VALOR!;18.413;18.106;15.539;27.766;42.742;15.938;15.701;20.207;19.638;;
may-02;12.682;#¡VALOR!;#¡VALOR!;25.481;#¡VALOR!;18.442;17.309;14.913;26.352;40.607;15.175;15.092;19.367;18.849;;
jun-02;17.454;#¡VALOR!;#¡VALOR!;35.380;#¡VALOR!;23.851;24.674;20.387;36.753;58.912;20.670;19.876;27.564;26.601;;
jul-02;12.271;#¡VALOR!;#¡VALOR!;25.290;#¡VALOR!;17.831;16.964;14.433;25.789;38.896;15.126;14.310;18.636;18.287;;
ago-02;12.614;#¡VALOR!;#¡VALOR!;24.777;#¡VALOR!;17.146;16.800;14.360;25.480;39.182;15.060;13.912;18.389;18.058;;
sept-02;12.485;#¡VALOR!;#¡VALOR!;24.142;#¡VALOR!;16.614;16.552;13.931;25.571;37.842;14.850;13.730;18.271;18.377;;
oct-02;12.719;#¡VALOR!;#¡VALOR!;25.616;#¡VALOR!;17.263;16.939;14.248;25.569;38.977;15.220;13.755;18.436;18.222;;
nov-02;12.692;#¡VALOR!;#¡VALOR!;25.344;#¡VALOR!;16.749;16.717;14.187;25.656;38.820;15.119;13.732;18.401;18.195;;
dic-02;17.853;#¡VALOR!;#¡VALOR!;37.912;#¡VALOR!;23.382;24.589;20.164;36.972;57.130;20.979;19.509;26.933;26.494;;
ene-03;13.476;#¡VALOR!;#¡VALOR!;26.876;#¡VALOR!;16.935;17.901;14.733;26.313;44.393;16.011;14.053;20.453;19.502;;
feb-03;13.917;#¡VALOR!;#¡VALOR!;25.162;#¡VALOR!;17.138;17.893;14.691;26.670;41.188;15.487;13.860;19.241;18.849;;
mar-03;13.638;#¡VALOR!;#¡VALOR!;26.881;#¡VALOR!;17.174;17.825;14.764;26.200;40.305;15.709;13.563;18.913;18.943;;
abr-03;13.568;#¡VALOR!;#¡VALOR!;25.879;#¡VALOR!;16.875;17.516;14.789;26.085;38.411;15.013;13.685;19.017;18.917;;
may-03;13.962;#¡VALOR!;#¡VALOR!;26.762;#¡VALOR!;17.628;18.100;15.406;26.727;38.821;16.368;13.886;19.665;19.804;;
jun-03;20.262;#¡VALOR!;#¡VALOR!;37.627;#¡VALOR!;22.965;25.397;20.896;37.348;57.298;22.236;19.140;28.071;27.817;;
jul-03;16.187;#¡VALOR!;#¡VALOR!;27.305;#¡VALOR!;17.604;18.588;15.601;26.812;39.283;17.128;13.929;21.039;20.426;;
ago-03;16.091;#¡VALOR!;#¡VALOR!;27.439;#¡VALOR!;17.446;18.840;16.056;27.447;40.288;17.263;13.844;20.612;20.830;;
sept-03;16.407;#¡VALOR!;#¡VALOR!;28.107;#¡VALOR!;17.793;19.368;16.151;28.475;40.305;17.348;14.002;21.398;21.587;;
oct-03;16.589;#¡VALOR!;#¡VALOR!;29.470;#¡VALOR!;18.826;19.603;16.773;30.237;39.379;18.194;13.925;21.662;21.707;;
nov-03;16.425;#¡VALOR!;#¡VALOR!;29.329;#¡VALOR!;18.765;19.777;16.922;29.125;39.474;18.455;14.108;22.124;21.779;;
dic-03;23.529;#¡VALOR!;#¡VALOR!;45.756;#¡VALOR!;26.854;29.535;24.270;41.114;60.857;26.034;20.204;32.604;32.145;;
ene-04;17.307;#¡VALOR!;60.262;31.905;#¡VALOR!;20.693;22.024;18.552;31.600;49.764;20.820;14.913;25.672;24.074;;
feb-04;17.412;#¡VALOR!;59.075;31.042;#¡VALOR!;20.772;22.345;19.236;32.533;50.768;20.097;14.937;24.686;23.955;;
mar-04;17.895;#¡VALOR!;65.630;33.630;#¡VALOR!;22.237;22.158;19.022;33.492;48.539;20.541;14.469;24.014;24.005;;
abr-04;17.338;#¡VALOR!;55.621;31.579;#¡VALOR!;21.380;21.738;19.163;31.918;43.804;20.475;14.503;24.188;23.452;;
may-04;17.179;#¡VALOR!;58.563;31.228;#¡VALOR!;21.043;21.293;18.980;31.195;43.083;20.445;14.368;23.575;23.253;;
jun-04;24.412;#¡VALOR!;79.803;44.603;#¡VALOR!;28.194;30.852;26.137;44.544;63.939;27.128;20.154;34.265;33.236;;
jul-04;17.232;#¡VALOR!;54.635;30.923;#¡VALOR!;20.365;21.116;18.509;31.112;42.407;19.719;14.713;24.084;23.101;;
ago-04;17.258;#¡VALOR!;54.898;31.049;#¡VALOR!;20.216;21.133;18.567;30.924;42.984;19.488;14.985;23.390;23.083;;
sept-04;17.277;#¡VALOR!;54.262;31.237;#¡VALOR!;20.119;21.161;18.197;31.617;42.149;19.560;15.103;23.260;23.351;;
oct-04;17.093;#¡VALOR!;57.575;31.033;#¡VALOR!;20.596;21.058;18.489;31.371;42.825;19.600;15.023;23.227;23.134;;
nov-04;17.222;#¡VALOR!;55.437;31.475;#¡VALOR!;20.433;21.051;18.406;31.013;42.435;19.472;15.386;23.229;22.536;;
dic-04;24.664;#¡VALOR!;85.552;47.984;#¡VALOR!;28.823;30.504;26.305;46.387;64.637;27.341;22.091;34.181;33.070;;
ene-05;17.756;#¡VALOR!;#¡VALOR!;34.242;#¡VALOR!;21.326;23.123;19.567;34.092;50.598;21.036;15.911;26.759;24.409;;
feb-05;17.441;#¡VALOR!;#¡VALOR!;31.359;#¡VALOR!;20.631;22.421;19.389;33.401;47.157;20.254;15.963;24.282;23.822;;
mar-05;17.391;#¡VALOR!;#¡VALOR!;33.578;#¡VALOR!;22.014;22.143;19.479;33.901;44.130;20.420;15.586;23.588;23.469;;
abr-05;17.329;#¡VALOR!;#¡VALOR!;32.988;#¡VALOR!;24.238;22.467;20.385;34.066;42.122;20.808;16.132;24.136;23.709;;
may-05;17.274;#¡VALOR!;#¡VALOR!;32.789;#¡VALOR!;24.234;22.218;20.467;34.567;42.861;21.042;16.249;24.023;23.532;;
jun-05;23.897;#¡VALOR!;#¡VALOR!;47.430;#¡VALOR!;30.718;31.410;27.766;48.711;68.170;28.057;22.417;35.389;33.843;;
jul-05;17.507;#¡VALOR!;#¡VALOR!;33.474;#¡VALOR!;23.359;23.695;20.042;34.871;45.017;21.435;16.349;25.027;24.312;;
ago-05;17.737;#¡VALOR!;#¡VALOR!;34.042;#¡VALOR!;23.811;24.909;20.414;35.300;45.617;21.821;16.768;24.498;24.694;;
sept-05;17.351;#¡VALOR!;#¡VALOR!;34.302;#¡VALOR!;23.751;25.131;19.460;35.756;45.839;22.384;17.167;24.542;25.259;;
oct-05;19.074;#¡VALOR!;#¡VALOR!;35.439;#¡VALOR!;23.757;25.179;20.686;36.517;44.933;21.560;17.647;25.464;25.770;;
nov-05;18.554;#¡VALOR!;#¡VALOR!;36.084;#¡VALOR!;24.808;25.019;20.969;36.918;45.968;23.327;17.558;26.357;25.873;;
