Cuadro 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Producto interno bruto, por categoría de tabulación. Valores trimestrales en millones de pesos a precios de 2004 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2004;;;;;;2005;;;;;;2006;;;;;;2007;;;;;;2008;;;;;;2009;;;;;;2010;;;;;;2011;;;;;;2012;;;;;;2013;;;;;;2014;;;;;;2015;;;;;;2016;;;;;;2017;;;;;;2018;;;;;;2019;;;;;;2020;;;;;;2021;;;;;;2022;;;;;;2023 (1);;;;;;2024 (2);;;;;;2025 (2);
;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Producto Interno Bruto;460.369;514.396;481.152;484.544;485.115;;493.603;581.668;514.698;522.255;528.056;;532.348;614.076;562.979;572.794;570.549;;576.847;674.621;610.426;625.877;621.943;;616.720;711.406;647.088;613.491;647.176;;578.553;631.198;610.520;615.221;608.873;;611.607;733.731;668.567;668.190;670.524;;662.326;766.333;711.417;703.050;710.782;;672.686;730.838;703.462;706.958;703.486;;677.086;776.487;721.459;706.597;720.407;;671.066;760.577;690.880;686.701;702.306;;672.750;791.236;718.281;703.682;721.487;;677.652;760.703;694.382;693.174;706.478;;681.445;778.402;721.120;724.593;726.390;;707.324;747.428;696.102;678.656;707.377;;665.849;751.784;683.901;671.361;693.224;;632.389;609.380;614.192;642.403;624.591;;652.832;723.517;686.756;696.135;689.810;;697.625;782.339;732.662;712.740;731.342;;703.988;737.942;728.639;700.510;717.769;;669.058;729.948;714.524;718.991;708.130;;708.114;775.965
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Impuesto a los productos netos de subsidios (a los ingresos brutos, específicos, a los débitos y créditos bancarios, a las exportaciones);37.835;40.371;37.675;37.961;38.460;;38.787;43.771;39.051;39.244;40.213;;41.549;44.801;41.557;43.931;42.960;;44.801;49.610;47.648;49.357;47.854;;49.334;51.876;50.979;47.242;49.858;;47.121;48.938;44.257;45.807;46.531;;46.614;55.932;51.998;49.368;50.978;;50.752;57.083;54.807;53.745;54.097;;53.554;56.002;55.028;54.965;54.887;;53.612;60.207;56.769;53.654;56.061;;52.592;56.753;53.111;53.107;53.891;;51.680;59.579;56.474;55.788;55.880;;55.199;57.361;54.955;55.378;55.723;;55.077;58.254;57.931;58.429;57.423;;57.488;57.294;54.373;55.775;56.233;;54.132;57.136;56.218;56.967;56.113;;51.535;48.939;48.737;50.013;49.806;;50.972;52.742;54.842;54.049;53.151;;57.873;63.142;60.933;60.047;60.499;;55.676;59.136;57.813;55.147;56.943;;54.389;59.444;59.396;61.049;58.569;;59.729;62.930
IVA;29.037;31.112;33.430;30.329;30.977;;31.849;35.437;34.237;33.000;33.631;;35.345;38.988;38.781;41.268;38.596;;41.747;44.690;46.001;48.707;45.286;;47.542;49.242;49.329;46.831;48.236;;44.188;45.145;48.094;45.640;45.767;;45.836;50.142;51.756;51.082;49.704;;52.176;54.298;56.809;55.681;54.741;;53.464;53.004;56.935;59.166;55.642;;57.182;57.403;61.071;57.827;58.371;;56.996;54.840;54.057;51.746;54.410;;56.364;55.577;56.582;53.207;55.433;;56.487;52.927;53.353;51.598;53.591;;56.751;54.574;55.704;54.238;55.317;;59.478;54.103;53.495;49.761;54.209;;54.424;51.618;51.315;48.685;51.511;;51.078;41.643;47.869;48.164;47.188;;54.713;51.641;53.159;51.836;52.837;;56.391;56.403;60.233;57.009;57.509;;57.743;55.148;59.744;55.646;57.070;;53.182;52.650;57.850;57.205;55.222;;57.211;57.234
Impuesto a los productos importados (derechos de importación);2.711;3.170;3.468;3.653;3.250;;3.326;3.926;4.133;4.250;3.909;;3.930;4.420;4.768;4.902;4.505;;4.684;5.094;5.972;6.204;5.488;;5.861;6.436;6.795;5.959;6.263;;4.245;4.383;5.352;5.587;4.892;;5.455;6.348;7.633;7.941;6.844;;7.225;8.053;9.357;9.059;8.424;;7.276;6.937;8.536;8.732;7.871;;7.401;7.920;8.602;7.998;7.980;;6.938;6.886;7.255;6.474;6.889;;6.412;7.007;8.044;7.472;7.234;;7.060;7.762;7.822;7.517;7.540;;7.431;8.393;9.682;9.947;8.863;;9.055;9.028;8.634;6.895;8.403;;6.205;6.586;7.206;6.228;6.556;;5.402;4.994;6.115;7.107;5.905;;6.848;7.200;7.973;8.245;7.567;;8.308;8.808;8.979;7.977;8.518;;7.467;8.227;9.175;7.631;8.125;;6.073;6.134;7.696;8.595;7.124;;9.218;9.074
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valor agregado bruto a precios básicos;390.787;439.743;406.579;412.601;412.427;;419.641;498.534;437.277;445.761;450.303;;451.524;525.867;477.872;482.693;484.489;;485.615;575.227;510.805;521.609;523.314;;513.983;603.851;539.985;513.459;542.819;;483.000;532.732;512.817;518.187;511.684;;513.703;621.308;557.180;559.799;562.998;;552.173;646.899;590.445;584.565;593.520;;558.391;614.896;582.963;584.095;585.086;;558.890;650.956;595.017;587.118;597.996;;554.540;642.098;576.457;575.375;587.117;;558.293;669.072;597.180;587.215;602.940;;558.905;642.653;578.253;578.680;589.623;;562.186;657.180;597.803;601.979;604.787;;581.304;627.003;579.600;566.224;588.533;;551.087;636.444;569.162;559.481;579.043;;524.375;513.804;511.472;537.119;521.692;;540.299;611.933;570.781;582.004;576.254;;575.054;653.986;602.518;587.707;604.816;;583.102;615.431;601.905;582.086;595.631;;555.415;611.720;589.582;592.143;587.215;;581.955;646.727
A - Agricultura, ganadería, caza y silvicultura ;31.507;65.745;28.754;30.495;39.125;;35.665;91.464;28.908;31.396;46.858;;34.290;85.997;31.559;31.376;45.805;;35.833;100.599;31.867;32.158;50.114;;35.233;98.311;32.468;29.489;48.875;;29.781;58.364;28.307;27.523;35.994;;33.045;106.261;30.899;33.050;50.814;;36.790;96.797;31.511;32.714;49.453;;34.319;74.014;32.050;31.021;42.851;;36.096;91.073;31.769;31.335;47.568;;34.578;98.121;32.109;31.533;49.085;;36.008;110.971;32.471;32.137;52.897;;35.390;100.989;32.063;32.755;50.299;;37.133;103.050;32.540;34.435;51.789;;37.536;70.024;32.038;35.308;43.726;;40.559;103.765;35.952;35.519;53.949;;38.095;92.057;34.777;35.545;50.119;;39.981;89.026;35.008;38.809;50.706;;43.316;86.797;33.572;30.237;48.480;;35.784;47.909;31.334;31.923;36.738;;39.290;86.136;35.478;33.460;48.591;;41.033;90.242
