A - Agricultura, ganadería, caza y silvicultura ;B - Pesca;C - Explotación de minas y canteras;D - Industria manufacturera;E - Electricidad, gas y agua;F - Construcción;G - Comercio mayorista, minorista y reparaciones;H - Hoteles y restaurantes;I - Transporte, almacenamiento y comunicaciones;J - Intermediación financiera;K - Actividades inmobiliarias, empresariales y de alquiler;M - Enseñanza;N - Servicios sociales y de salud;O - Otras actividades de servicios comunitarias, sociales y personales;P - Hogares privados con servicio doméstico;;;;;;;
0,330414333;0,015187667;0,068004;1,176933667;0,054436333;0,401670333;1,005308333;0,218988;0,486921;0,142365;0,810915667;0,322163;0,233573667;0,340031333;0,001475;;;;;;;
0,326115;0,015215333;0,066953667;1,15948;0,054927;0,396049;1,005940667;0,220104333;0,485622333;0,139740333;0,801908667;0,323082333;0,236158;0,340060333;0,001326667;;;;;;;
0,327769;0,014704;0,066702667;1,161707333;0,055662667;0,392063667;1,008116;0,218455667;0,484682;0,139441667;0,805454;0,324790333;0,238695667;0,340736333;0,001255;;;;;;;
0,327300333;0,014644333;0,066645333;1,167149333;0,056045333;0,387650667;1,013519333;0,222089667;0,486512333;0,139907;0,806170333;0,328124333;0,240525;0,346099333;0,001187667;;;;;;;
0,324348333;0,014546667;0,067144;1,173704333;0,056118;0,390049667;1,021010333;0,223475;0,489774333;0,140902667;0,816027333;0,329234333;0,243225;0,347288;0,001174667;;;;;;;
0,325576333;0,014308;0,067961333;1,185747333;0,056222667;0,391421;1,033947;0,226645;0,494182;0,142439667;0,824259667;0,332413667;0,246284667;0,349940667;0,001102;;;;;;;
0,324977667;0,015195667;0,069101667;1,195112;0,056476;0,397309667;1,045755333;0,229736;0,498595;0,144122333;0,831727;0,335352;0,248772667;0,353594667;0,001098333;;;;;;;
0,32783;0,014631667;0,070064667;1,202482333;0,057049333;0,410651;1,057448333;0,231228333;0,503069667;0,146280667;0,842854;0,337709;0,251568;0,355497333;0,001075;;;;;;;
0,333653333;0,014900333;0,070846333;1,218162333;0,057645333;0,426136333;1,069497333;0,234019667;0,510367;0,14804;0,851223667;0,341581667;0,254821333;0,357723667;0,001083;;;;;;;
0,340175333;0,014861;0,071871667;1,233864333;0,058121333;0,437157333;1,081331667;0,236611333;0,516666667;0,150476;0,859532;0,345416333;0,259112667;0,359942333;0,001015;;;;;;;
0,338166667;0,015076;0,073126;1,245617;0,058518;0,441735333;1,092842;0,240358;0,522307333;0,152968;0,868161;0,349379667;0,262782667;0,359601333;0,000989667;;;;;;;
0,339159667;0,014666;0,074223;1,254708333;0,058938333;0,448094667;1,102131333;0,242777333;0,527218333;0,154734333;0,870740333;0,352545;0,266375333;0,359878333;0,000964667;;;;;;;
0,332112667;0,014381;0,075041;1,254584333;0,059407667;0,441668;1,104464333;0,244586;0,530548667;0,155754;0,867955667;0,355169333;0,268764333;0,362258667;0,000957667;;;;;;;
0,330055333;0,013888667;0,075737;1,252840667;0,059758;0,435072;1,106787;0,247302;0,532327667;0,156653667;0,860334;0,355853333;0,271131333;0,363455333;0,000901;;;;;;;
0,331434667;0,013438333;0,075964333;1,254404333;0,060264;0,424945;1,10742;0,248401;0,533587333;0,157679;0,855821;0,357791333;0,273527;0,364944667;0,000887;;;;;;;
0,331928667;0,013334;0,076376333;1,258778333;0,060973667;0,420742;1,112208;0,250630667;0,535237;0,158401333;0,851316;0,361419;0,275864667;0,366292333;0,000879;;;;;;;
0,335338;0,013140333;0,076960333;1,263954;0,061649333;0,423600667;1,116929;0,252678;0,537155333;0,159164;0,849754;0,363217;0,277755667;0,365792333;0,000919;;;;;;;
0,334021667;0,013247333;0,077873667;1,265073333;0,062383667;0,427263667;1,118033333;0,251285333;0,539711667;0,159572667;0,848170667;0,365684333;0,280002667;0,36606;0,000942333;;;;;;;
0,326733;0,013260333;0,079026667;1,265363333;0,063348;0,427572667;1,120529333;0,253468333;0,542563667;0,159714;0,847777667;0,366324667;0,282109333;0,368132667;0,000871;;;;;;;
0,320954333;0,013400667;0,080317667;1,265420333;0,064258333;0,427386;1,123780333;0,254780333;0,544511333;0,160152333;0,844284667;0,368916;0,284407667;0,368667667;0,000864667;;;;;;;
0,322391;0,012851667;0,082109;1,257209333;0,065024;0,420411;1,125011333;0,256259;0,544428333;0,160328;0,833883;0,369450333;0,286463;0,368458667;0,000900333;;;;;;;
0,324313333;0,013227;0,083798;1,250794333;0,065837333;0,420065667;1,122387667;0,255751333;0,545723667;0,160045667;0,830967667;0,373278333;0,287714;0,368433;0,000885;;;;;;;
0,328819333;0,013352667;0,084964;1,245988;0,066560333;0,424526;1,123331;0,255998667;0,546420333;0,159435;0,827306;0,37689;0,290401;0,369278667;0,000891667;;;;;;;
0,330664667;0,013314333;0,086521333;1,243312667;0,067471;0,431561667;1,123717;0,256817;0,547412;0,158025;0,829390333;0,380749333;0,293646;0,371835333;0,000892333;;;;;;;
0,330269667;0,013113333;0,087858;1,245441;0,068094;0,441598;1,129744333;0,261157333;0,550621667;0,158545667;0,836580667;0,383090667;0,295507667;0,373896667;0,000888667;;;;;;;
0,327265;0,013266667;0,087924667;1,254028;0,068815333;0,457891;1,13951;0,262898333;0,555213333;0,159149;0,843041;0,38839;0,298417667;0,376856333;0,000841;;;;;;;
0,322943;0,012911667;0,087632667;1,257219667;0,069727;0,460699667;1,14539;0,264824667;0,559272;0,160349333;0,849288;0,390286;0,301692;0,377155667;0,000812333;;;;;;;
0,316359667;0,012978333;0,086394;1,254950333;0,070096;0,444533667;1,148836667;0,264902;0,561504667;0,161582;0,851087333;0,391868;0,304093333;0,376830667;0,000807333;;;;;;;
0,315368;0,012875667;0,08473;1,243154333;0,070398667;0,415399;1,152827667;0,264460333;0,561354667;0,162895333;0,839664333;0,394903333;0,306957333;0,378913667;0,000799;;;;;;;
